#ROM,P1Bnt1,P1Btn2,P1Btn3,P1Btn4,P1Btn5,P1Btn6,P1Btn7,P1Btn8,P1Btn9,P1Btn10
005,Fire
ataxx,Select
atehate,1,2,3,4
atetris,Rotate
athena,Jump,Attack
atlantis,Fire,Bomb
atomicp,Rotate,Special
aurail,Fire,Special,Shield
av2mj1bb
av2mj2rg
avalnche,Serve
avengers,A,B
avsp,Shoot,Attack,Jump (Dash)
avspirit,A,B
aztarac,Fire,Radar
azurian,Fire
baddudes,Attack,Jump
badlands,Gas,Fire
bagman,Action
bakutotu,Fire,Fire,Fire
ballbomb,Fire
ballbros,Rotate,
balonfgt,B,A
baluba,Jump
bananadr
bang,Fire
bangball,Throw
bankp,Door 1,Door 2,Door 3
baraduke,Fire
barricad
barrier,Beginner,Intermediate,Expert
batman,Action,Jump
batsugun,Shoot,Bomb
battlane,Fire,Missile
battlera,Fire,Jump,Grenade
battlex,Fire
battlnts,Shoot
bayroute,Fire,Jump
bbonk
bbusters,Fire,Grenade
bcruzm12,Fire
beaminv,Fire
beathead,Jump,Big Jump
beezer
bel,Fire,Grenade
berabohm,Attack,Hard Attack,Jump,High Jump
bermudat,Fire,??
berzerk,Fire
bigevglf,Club Select,Club Select(2P)
bigkarnk,Shot,Jump
bigrun,Accel,Brake,Low,High,Horn
bigstrik,A,B,C
bigtwin,Grab
bijokkog
bijokkoy
bioatack,Fire
biofreak,Left Punch,Right Punch,Fire/Shield,Left Kick,Right Kick,Hover
biomtoy,Fire,Jump
bionicc,Fire,Bionic Reach
bioship,Fire,Cursor
birdtry,Swing,Options
bking
bking2
bking3
bkraidj,A,B,C
bkrtmaq,1,2,3,4
bladestl,Shoot,Pass/Face-Off,Fight!
blandia,Attack High,Attack Middle,Attack Low
blasted,Fire
blaster,Blast,Thrust,Unknown
blasto,Fire
blastoff,Fire,Change Weapon,NA
blazeon,Normal,Special/Attack
blitz,Turbo,Jump/Tackle,Pass/Change Player
blkheart,Fire A,Fire B
blkhole,Shoot
blkpnthr,Attack,Jump
blktiger,Mace,Jump
blockade
blockout,A,B,C,Drop
bloodbro,Fire,Roll,Dynamite
bloxeed,Rotate
blstroid,Fire,Thrust,Transform:Armor,Shots,Speed
blswhstl,Fire,Fire
blueprnt,Run
blueshrk,Harpoon
bm1stmix,White 1,Black 1,White 2,Black 2,White 3
bm2ndmix,White 1,Black 1,White 2,Black 2,White 3
bm4thmix,White 1,Black 1,White 2,Black 2,White 3
bm5thmix,White 1,Black 1,White 2,Black 2,White 3
bm6thmix,White 1,Black 1,White 2,Black 2,White 3
bmaster,Attack,Jump
bmcompm2,White 1,Black 1,White 2,Black 2,White 3
bmcompmx,White 1,Black 1,White 2,Black 2,White 3
bmcorerm,White 1,Black 1,White 2,Black 2,White 3
bmdct,White 1,Black 1,White 2,Black 2,White 3
bnglngby,B,A
bodyslam,Punch,Kick,Help
bogeyman,A,B
bombjack,Jump
boogwing,Fire,Bomb
boothill,Fire
bosco,Fire
bottom9,A,B
bouldash
bowler,Straight/Hook,??
boxingb,Rocket,Punch
bradley,Fire,Armor Piercing SS,High Explosive SS,Armor Piercing Low,High Explosive Low,Armor Piercing High,High Explosive High,Tow Missiles,7.62mm Gun,Magnification Toggle
brkthru,Attack,Fire
brubber,Jump
bshark,Fire
bsktball,Shoot/Jump
btime,Pepper
btlecity,B,A
btlkroad,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
btoads,Start/Attack,Jump
bubbles
bublbobl,Bubble,Jump
buckrog,Fire,Slow,Fast
buggychl,Accel,H/L
bwidow
bzone,Fire
cabal,Fire,Grenade
cadash,Attack,Jump
calibr50,Rapid Fire,Grenade
cameltry,Jump/Speedup
canyon,Fire
capbowl,Hook Left,Hook Right
captaven,Start/Attack,Jump
captcomm,Attack,Jump
carnevil,Trigger,Reload
carnival,Shoot
cavelon,Shoot,Magic Sword
cavenger,Fire,Bomb
cawing,Fire,Special Weapon
cbuster,Fight,Jump,Pick Up
ccasino
ccastles,Jump
cchasm,Fire,Thrust,Shields
cclimber
cclimbr2
centiped,Fire
challeng,Fire,Bomb,Warp
champbas,A:Change Batter,Pitcher,B:Bat,Extra Bases-Pitch,Throw Ball,C:Steal,Run Back
checkman,Slide left,Slide right
checkmat
cheekyms,Hammer
cheyenne,Fire
chiller,Fire
chinmoku
chopper,Shoot,Special Weapon
circus
circusc,Jump
cischeat,Accel,Brake,Low,High,Horn
citycon,Shoot,Jump
citylove
ckong,Jump
cloak,Light Fuse
clowns
cltchitr,A,B,C
club90s
cluclu,B,A
cmehyou
cninja,Attack,Jump
colony7,Fire,Mega-Blaster,Eradicator
columns,Switch Pieces
combat,Fire
commando,Machine Gun,Grenade
commsega,Machine Gun,Grenade
comotion
congo,Jump
contra,Shoot,Jump
cosmica,Fire
cosmicg,Fire
cracksht,Fire
crash,Fast
crater,Trigger,Shield,??
crgolf,Swing,Address Up,Address Down,Address Left,Address Right,Club Select
crimec,Shoot,Jump
crimfght,Punch,Kick 
crossbow,Fire
crush
cryptklr,Fire,Reload
crystal2
crystalg
cshift,Blue Things,Red Things
csprint
cstlevna,B,A
ctribe,Punch,Kick
curvebal,Swing,Bunt,Left (Curve),Right (Curve)
cyberbal,Action
cybots,Attack 1,Attack 2,Boost,Weapons
cybsled,Fire,Missile,View Point,unknown
daioh,Laser,Ion,Missile,Bomb,MegaBeam,Atomic Bomb
daiyogen
dangar,Fire,Transform,??
dangerz,Machine Gun,Heat Seaking Missile
darkplnt,Fire,Thrust,Laser
darkseal,Attack,Magic
ddragon,Kick,Jump,Punch
ddragon2,Attack Left,Jump,Attack Right
ddragon3,Punch,Jump,Kick
ddribble,Dribble,Shoot,Pass
ddsom,Attack,Jump,Select,Magic
ddtod,Attack,Jump,Magic,Select
deadang,Fire,Grenade
defender,Fire,Thrust,Smart Bomb,Hyperspace,Reverse
demoderb,Forward,Reverse
depthch,Left Charge,Right Charge
desertgu,Fire
destroyr,Release Charge,Slow
devilfsh,Drop bait
devstors,Shoot,Weapon
devzone,Fire
digdug,Pump
digdug2,Pump,Drill
digger,Dig,Fill
dimahoo,Shoot,Bomb
dino,Attack,Jump
dkong,Jump
dkong3,Spray
dkongjr,Jump
docastle,Fire
dokyusei
dokyusp
domino,Swat
dominos
dondenmj
dorunrun,Fire
dotron,Throw,Deflect,Aim Up,Aim Down
dowild,Run
downtown,Punch,Kick
dragngun,Fire,Dragon Bomb
dragrace,Accel,1,2,3,4
drgnunit,Attack,Jump,Shield
drmario,B,A
dspirit,Fire,Bomb,Unknown
dstlk,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
duckhunt,B,A
dynamcop,Punch,Kick,Jump
earthjkr,A-Shoot,B-Bomb
ecofghtr,Rotate CCW,Shot,Rotate CW
eggventr,Fire
elecyoyo
elevator,Fire,Jump/Kick
elim2,Fire,Thrust
enigma2,Fire,Thrust
eprom,Fire,Jump/Start,Duck
esb,Fire,Tow Cable,Tow Cable,Fire
eswat,Shoot,Jump,Special Weapons
excitebk,B,A
exerion,Fast Fire,Fire
exterm,Fire/Grap,Pound
eyes,Fire
f1dream,1st Gear,2nd Gear
f1en,Gear Down,Gear Up
f1gpstar,Accel,Brake,Lo,Hi
fantasy
fax,A,B,C,D
ffight,Attack,Jump
fghtatck,Fire,Bomb
fgoal
finalap2,High/Low
finalb,Weak,Medium Strength,Duck
firetrap,Fire
firetrk,Accel,Horn,Track Select,Bell
foodf,Throw
forgottn,Push to Fire
formatz,Laser/Energy,Jump/Transform
frenzy,Fire
frogger
frogs,Tongue,Jump
fromanc2
fromanc4
fromance
fromancr
frontlin,Fire,Tank/Grenade
fshark,Fire,Bomb
futspy,Fire,Bomb
fvipers,Punch,Kick,Guard
ga2,Attack,Jump,Magic
gakusai
gakusai2
gal10ren
galaga,Fire
galaga88,Fire,Fire,N/A
galaxian,Fire
galkaika
galkoku
galpani2,Cut
galpanic,Cut
galxwars,Fire
gaplus,Fire
gaunt2,Fire,Magic/Start
gauntlet,Fire,Magic/Start
gberet,Weapon,Shoot
geebee,Serve
gforce2,Fire,Missile
gground,Magic Weapon,Special Weapon
ghostb,Shoot/Start,Beam
ghouls,Fire,Jump
gigawing,Shot/Reflect Barrier,Force Bomb
gijoe,Shoot,Super Weapon
glfgreat,Stance,Shot,N/A,N/A
gloc,Vulcan-Gun,Missile,Afterburner
gmissile,Fire
gng,Fire,Jump
goldmedl,A,B,C
goldnaxe,Attack,Jump,Magic
golgo13,Trigger,Zoom In/Out,Enter
gollygho,1
gondo,Character Weapon,Airbike Weapon
goonies,B,A
gorf,Fire
gravitar,Fire,Thurst,Tractor/Shield
grchamp
greatgun,Fire
gridiron,Pass & Formation Set
gridlee,Fire
gt2k,Face Left,Face Right
gt3d,Face Left,Face Right
gt5,1,2,3,4,5
gt507uk,1,2,3,4,5
gt97,Face Left,Face Right
gt98,Face Left,Face Right
gt99,Face Left,Face Right
gtg2,Face Left,Face Right
gtmr,Accel
gtmr2,Accel,Brake
gtsers8,1,2,3,4,5
guardian,Fast Punch,Fast Kick,Defense,Strong Punch,Strong Kick
gunbird,Fire,Bomb
gunbustr,Trigger,Bomb
gunsmoke,Fire-Left,Fire-Center,Fire-Right
gwar,Fire,Grenade
gyruss,Fire
halleys,Fire,Warp
hanamomo
hardyard,Pass/Jump,Dive
hatena,1,2,3,4
hattrick,Shoot
hbarrel,Shoot,Grenade
hcastle,Attack,Jump
hgkairak
hiimpact,Action
hippodrm,Attack,Jump
hitice,Shoot/Check,Pass/Save
hitme,Stand,Hit,Ante
hng64,A,B,C,D
hogalley,Fire
holo,Quick Tricks,Fierce Tricks
horshoes,Angle,Grip
hotgmck
hotgmck3
hotrod
hotsmash
hourouki
housemn2
housemnq
hstennis,Hard,Soft
hustle
hustler,Shoot
hyperspt,Go (Left),Up,Go (Right)
hypreac2
hypreact
iceclimb,B,A
iceclmrj,B,A
idhimitu
idolmj
iemoto
ikari,Gun,Grenade
ikari3,Kick,Punch,Jump
imekura
indyheat,Turbo
indytemp,Whip
inferno,Fire
invaders,Fire
invadpt2,Laser
invho2,Fire/Gas
invrvnge,Fire
irobot,Fire,??
jackal,Machine Gun,Hand Grenade
jailbrek,Shoot,Select
jajamaru,B,A
janbari
janjans1
jantouki
jedi,Fire/Rotate Left,Fire,Fire/Rotate Right
jogakuen
journey,Blast
joust,Flap
joust2,Flap,Transform
joyfulr
jpark,Fire
jrpacman
jumpbug,Fire
junglek,Jump/Knife
jungler,Fire
kageki,Jab,Punch
kaguya
kanatuen
kangaroo,Punch
kaos,Jump,??,??
karnov,Fire,Jump,Option
kchamp
kick,Press to Kick
kicker,Kick,Jump
killcom,Left,Up,Right,Hyperspace
kingball,Fire
kingofb,Punch,Uppercut
kinst,Quick (High Attack),Medium (High Attack),Fierce (High Attack),Quick (Low Attack),Medium (Low Attack),Fierce (Low Attack)
kinst2,Quick (High Attack),Medium (High Attack),Fierce (High Attack),Quick (Low Attack),Medium (Low Attack),Fierce (Low Attack)
kirarast
kiwame
klax,Start/Flip
knights,Attack,Jump
koinomp
konamigt,Accel,Brake,High/Low
korinai
koshien,A,B,C
kram,Wall,Breakout
kroozr,Zap!,Shield
krull
kungfum,Kick,Punch
kurikint,Punch/Kick,Jump (higher)
ladybug
lagunar,High/Low
lastduel,1,2
ldrun,Dig Left,Dig Right
lemnangl
lethalen,Fire
lethalj,Fire
lghost,Laser Gun,Special Weapon
liberatr,Fire,Shield
lkage,Sword,Star Knives
llander,Abort
lnc,Lock
lockon,MachineGun1,MachineGun2,Hover,Missile Lock,
locomotn,Speed
looping,Fire,Accelerator
losttomb,Whip
lrescue,Fire
lupin3,Magic
m4,Fire,Reload
machridr,B,A
magspot,Fire
mahmajn
mahmajn2
mainevt,Action,Tag
majs101b
maniach,Punch,Kick
mappy,Open/Close
marble
mario,Jump
mars
marukin
matmania,Punch,Kick
maxforce,Fire
maxrpm,Shift Up,Shift Down
mayday,Front,Mayday,Back
mayumi
maze
mcnpshnt
mcontest
mechatt,Fire,Grenade
megaman2,Shoot,Jump,Weapon Change
megazone,Fire
mercs,Fire,Bomb
metamrph,Attack,Jump
metrocrs,Jump
mfunclub
mgakuen
mgakuen2
mgmen89
mhavoc,Fire/Jump,Shield
mhgaiden
midres,Shoot,Jump
mightybj,B,A
milliped,Fire
minefld,Cannon
mineswpr
minigolf,Tee Selection
missile,Alpha Base,Delta Base,Omega Base
mj4simai
mjangels
mjcamera
mjclinic
mjderngr
mjdialq2
mjdiplob
mjegolf
mjelctrn
mjfocus
mjfriday
mjgottsu
mjhokite
mjikaga
mjkinjas
mjkjidai
mjkoiura
mjkojink
mjlaman
mjlstory
mjnanpas
mjnatsu
mjnquest
mjsikaku
mjsister
mjuraden
mjyougo
mjyuugi
mk,High Punch,Block,High Kick,Low Punch,Low Kick
mk2,High Punch,Block,High Kick,Low Punch,Low Kick
mk3,High Punch,Block,High Kick,Low Punch,Low Kick,Run
mk4,High Punch,Block,High Kick,Low Punch,Low Kick,Run
mkeibaou
mladyhtr
mmatrix,Shoot,Bomb
mmehyou
moguchan,Unkown
mole,Attack1,Attack2,Attack3,Attack4,Attack5,Attack6,Attack7,Attack8,Attack9
monsterb,Zap
montecar,Accel,1st,2nd,3rd,4th,Track
monymony,Jump
moo,Shoot,Jump
mooncrst,Fire
moonwar,Missile,WarpDrive,Shields
mpatrol,Fire,Jump
mplanets,Fire
mrdo,Throw
mrdrillr,Drill
mrokumei
mscoutm
msh,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Forward Kick,Roundhouse Kick
mshvsf,Punch-Jab,Punch-Strong,Punch-Fierce,Kick-Short,Kick-Forward,Kick-Roundhouse
msjiken
mspacman
msword,Attack,Jump
mtrap,Dog,Doors-Yellow,Doors-Red,Doors-Blue
mvp,Red,Yellow,Blue
mvsc,Punch-Jab,Punch-Strong,Punch-Fierce,Kick-Short,Kick-Forward,Kick-Round-House
mwalk,Shoot,Dance
mx5000,Air-to-Air,Air-to-Ground
mysticm,Jump
mystwarr,Shoot,Jump
nametune,1,2,3,4
narc,Fire,Jump,Crouch,Rocket Bomb
nastar,Attack,Jump
natodef,1
naughtyb,Throw
nbahangt,Turbo,Shoot/Block,Pass/Steal
nbajam,Turbo,Shoot/Block,Pass/Steal
neckneck,1,2,3,4,5,6
nekkyoku
neogeo,A,B,C,D
neruton
ngpgal
nibbler
ninjaw,Dagger,Ninja Star
nmsengen
nomnlnd,Fire!
nova2001,Fire,Pause
nss,B,Y,A,X,L,R
ntopstar
nyny,Fire
offroad,Nitro/Start
offroadt,Nitro/Start
ojanko2
ojankoc
ojankohs
ojankoy
ojousan
olibochu
omegrace,Fire,Thrust
oneshot,Fire
openice,Turbo,Shoot/Block,Pass/Steal
opwolf,Fire,Rocket Gun
opwolf3,Shoot,Bomb
orangec
otatidai
othunder,Fire,Grenade
otonano
outrun,High/Low
overdriv,Accel,Brake,High/Low
pachiten
pacland,Jump
pacmania,Bounce,Bounce,Bounce
pacplus
paddlema,Bounce
pandoras,Jump
panic,Holing,Closing
paperboy,Throw,Throw
pastelg
patimono
pbaction,Left Flipper,Right Flipper,Shake/Start (Left),Shake/Start (Right)
pbobble,Shoot
pbobble2,Fire
pbobble3,Shoot
pclubj,Ok/Print,Cancel
pdrift,High/Low
pengo,Push
pepper2
peterpak,Throw,Jump
phoenix,Fire,Force Field
pigout,Jump,Throw
pigskin,Punch,Pass,Team Attitude
piratetr
pitfall2,Jump
pitfight,Punch,Kick,Start/Jump
platoon,B,A
playch10,A,B
pleiads,Fire,Warp
plotting,Fire
polaris,Fire
polepos,High/Low
polepos2,High/Low
policetr,Fire
polyplay,A
ponchin
ponpoko,Jump
pooyan,Fire
popeye,Punch
popper,Throw
pow,Kick,Jump,Punch
powerdrv,Back Tire,Front Tire,Wheelie,2wd/4wd
profpac,A,B,C
psailor1
psailor2
pstadium
psychos,Primary Fire,Secondary Fire
ptblank,Fire
puckman
pulsar,Fire
punchout,Left Blow,Right Blow,Hook Uppercut
punisher,Attack,Jump
punkshot,Pass/Hit,Shoot/Block
qad,1,2,3,4
qbert
qbertqub
qix,Fast Draw,Slow Draw
qmhayaku
qndream,1,2,3,4
quantum
quarterb,Action A,Action B
quartet,Jump/Start,Shoot
quasar,Fire,Forward
radarscp,Fire
radrad,Shoot
rainbow,Rainbow,Jump
rallyx,Smoke Screen
rampage,Punch,Jump
rampart,Place Piece/Fire/Start,Rotate Piece/Fire
rastan,Attack,Jump
rbibb,B,A
rchase,Fire
reactor,Energy,Decoy
redlin2p
redufo,Shoot
regulus,Fire,Bomb
renaiclb
renegade,Attack Left,Jump,Attack Right
rescraid,Select Weapons
rescue,Bomb
revx,Fire,Bomb
ripoff,Fire,Forward
rmhaihai
rmhaijin
rmhaisei
rmpgwt,Jump,Punch,Kick
roadblst,Lasers,Special Weapon
roadf,Low Gear,High Gear
roadrunn,Hop,??,??
robby,Magic
robocop,Shoot/Punch,Jump
robocop2,Shoot Left,Shoot Right,Jump
robokid,Fire,Weapon Select
robotron
rocnrope,Rope,Flash
rollerg,Attack,Jump
roundup,Cube Color Select
royalmah
rranger,Jump,Shoot
rthunder,Shoot,Jump
rtype,Fire,Force
runaway,Switcher,Jump,Forward/Reverse
rungun,A,B,C
s1945,Shoot,Bomb
s1945iii,Fire,Loop,Special
sailorws
salamand,Fire,Missile
sarge,Trigger,Thumb
satansat,Fire,Laser,
sbagman,Action
sbm,Sensor 1,Sensor 2,Sensor 3,Sensor 4
sbowling
sbrkout,Serve,Progressive,Double,Cavity
scandal
scobra,Sidewinder Missile,Bombs
scontra,Shoot,Jump
scramble,Laser,Bombs
sdi,Fire
searchar,Fire,Jump
seawolf,Torpedo
seawolf2,Torpedo
secolove
seiha
sengokmj
sf,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
sf2,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
sf2ce,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
sfa,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sfa2,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sfa3,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sfiii,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sfiii2,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sfiii3,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sftm,Light Punch,Middle Punch,Heavy Punch,Light Kick,Middle Kick,Heavy Kick
sgemf,Punch,Kick,Special
sgunner,Fire,Missile
sgunner2,Fire,Missile
shadoww,Attack,Jump,Grab
sharkatt,Munch,Thrust
sharrier,Shot,Shot,Shot
shdancer,Attack,Jump,Ninja Magic
sheriff,Fire
shimpact,Action
shinobi,Attack,Jump,Ninja Magic
shollow,Fire,Shield
shootbul
shootout,Shoot,Jump
shuffle,Game Select
shufshot,Zoom,Wax
sidearms,Left,Right,Power
sidetrac,Speed Up
simpsons,Attack,Jump
sinistar,Fire,Sinibomb
skullxbo,Sword,Turn
skydiver,Jump,Open Chute
skysoldr,Cannon,Missle
slapfigh,Fire,Weapon Select
slikshot,Yellow,Green,Red
slither,Down,Up
slyspy,Shoot,Jump
smashtv
smgolf,B,A
smgp,Shift Down,Shift Up
snakjack,Sneeze
snapjack
snowbros,Shoot/Kick,Jump
solarfox,Fire,Speed Control
solarq,Fire,Thrust,Hyper Space,Nova
souledge,Attack A,Attack B,Kick,Guard
spacduel,Fire,Thrust,Shield
spacedx,Fire
spacefb,Fire,Warp
spacegun,Trigger,Bomb Select,Back Up
spacelnc,Launch
spaceod,Laser,Bomb
spacezap,Fire
spacfury,Fire,Thrust
spbactn,Left Flipper,Right Flipper,Plunger
spdcoin
spdodgeb,Throw/Catch,Pass/Duck
speakres,Fire
spectar,Fire
speedfrk
speedrcr,A,B,C
spiders,Fire
spidman,Attack,Jump
spnchout,Left Blow,Right Blow,Uppercut/Hook
sprint1,Accel,1,2,3,4
sqbert
sqix,Draw
srmp2
srmp3
srmp4
srmp7
srumbler,Fire,Escape
ssf2,Jab Punch,Strong Punch,Fierce Punch,Short Kick,Strong Kick,Roundhouse Kick
sshooter,Fire
sspaceat,Fire
sspeedr,High/Low
ssprint
ssriders,Shoot,Jump
sstrike,Right Hook,Left Hook
starcas,Fire,Thrust
starforc,Fire
stargate,Fire,Thrust,Smart Bomb,Reverse,Inviso,Hyperspace
stargrds
starhawk,Fire,Slow,Medium,Fast
starjack,Fire,Bomb
starlstr,B,A
startrek,Fire,Thrust,Photons,Warp
starwars,Fire,Fire,Fire,Fire
statriv2,A,B,C,D
stocker,High/Low
stratab,Hook Left,Hook Right
stratgyx,Tank Fire,Turrent Rotate Left,Turrent Rotate Right
strider,Sword,Jump
strkforc,Weapon Select,Fire,Weapon
stunrun,Left,Right
subs,Torpedo
superman,Punch,Kick
superpac,Super Speed
suprmrio,B,A
supxevs,B,A
suzume
swimmer,Dive
szaxxon,Fire
tailg,Fire,Shield
tank8,Fire
tankbatt,Fire
tapper,Pour/Serve
targ,Fire
tazmania,Fire,Zapper
tbowl,Start/Jump,Snap/Pass/Tackle/Kick
tdfever,Run,Pass
teamqb,Action
tehkanwc,Kick
tekken,Left Punch,Right Punch,Left Kick,Right Kick
tekken2,Left Punch,Right Punch,Left Kick,Right Kick
tekken3,Left Punch,Right Punch,Left Kick,Right Kick
telmahjn
tempest,Fire,Super Zapper
tengai,Fire,Bomb,??
term2,Trigger,Bomb
terracre,Fire,Formation
terraf,Fire,Formation
tetris,Rotate
tetrisp,Rotate,Rotate
tetrisp2,Rotate Clockwise,Rotate Anti Clockwise,Bomb
theend,Fire
themj
thepit,Fire
thief
thndrbld,Fire,Grenade
thunderj,Fire,Jump
thundfox,Attack,Jump,Weapon
tickee,Trigger
tigerh,Mini-Gun,Bomb
tigeroad,Attack,Jump
timber,Chop Left,Chop Right
timecris,Fire,Step on It!
timekill,Left Arm,Right Arm,Left Leg,Right Leg,Head
timeplt,Fire
timesold,Fire,Hyper Weapon
tinstar,Fire
titlef
tkoboxng,B,A
tmmjprd
tmnt,Jump,Attack
tmnt2,Jump,Attack
tnk3,Fire,Cannon
toki,Fire,Jump
tokyogal
tomahawk,Fire
tontonb
toobin,Throw Can/Start,Paddle Right,Paddle Left,Back Left,Back Right
topgun,B,A
topspeed,Accel,Brake,Nitro,Hi/Lo
totcarn
toutrun,High/Low,Turbo
toypop,Shoot
trackfld,Run,Jump/Throw,Run
tranqgun,Fire
triplew1
triplew2
triplhnt,Fire
trisport,Set/Start,Select
triviabb,Correct,Incorrect
triviag1,Correct,Incorrect
triviag2,Correct,Incorrect
triviasp,Correct,Incorrect
triviayp,Correct,Incorrect
trog,Punch
tron,Fire
trvgns,A,B,C,D
tshoot,Fire,Grenade,Gobble!
ttmahjng
tubep,Fire
tunhunt,Fire,Shield
turbo,Accel,Lo,Hi
turbofrc,Fire
tutankhm,Left,Right,Flash
twincobr,Fire,Bomb
twineag2,Fire,Bomb,Special
twineagl,Missile,Bomb
twotiger,Shoot,Bomb,Speed
uchuuai
ultramhm
ultratnk,Fire
undrfire,Fire,Bomb
uniwars,Fire
unsquad,Fire,Special Weapon
upndown,Jump
usclssic,Select Club
utoukond,Attack,Jump,Bomb
valkyrie,Attack,Jump,??
vandyke,Attack,Jump
vanguard,Back,Forward,Down,Up
vanilla
varth,Fire,Special
vball,A,B
vendetta,Punch,Kick
venture,Fire
vf,Punch,Kick,Defense
vf2,Punch,Kick,Defense
victory,Fire,Thrust,Shields,Doomsday
victroad,Fire,Grenade
videopin,Left Flipper,Right Flipper,Nudge
vigilant,Punch,Kick
vimana,Shoot,Circle Bomb,??
vindictr,Special,Rotate left,Fire,Rotate right
viofight,Punch,Jump,Kick
viper,Fire,Fire
vitaminc
vsbball,B,A
vsfdf,B,A
vsgongf,B,A
vsgradus,B,A
vsgshoe,Fire
vsmahjng
vspinbal,B,A
vsskykid,B,A
vsslalom,Jump
vssoccer,B,A
vstennis,B,A
vstetris,B,A
wacko
wargods,High Punch,Block,High Kick,Low Punch,Low Kick,3D
warlords,Start
warpwarp,Fire
warrior,Sword
wbeachvl,Hit,Jump,Unknown
wbml,Sword,Jump
wboy,Speed/Attack,Jump
wcbowl,Hook Left,Hook Right
wcbowldx,Hook Left,Hook Right
wecleman,Accel,Brake,Low Gear,High Gear
wfortune,Select
whodunit,Fire
wildfang,Attack,Jump,Special
willow,Attack,Jump
wizdfire,Attack,Magic
wolfpack,Fire
wotw,Fire,Shield
wow,Fire
wrecking,B,A
wseries,Go Back,Xtra Base,Aim
wsf,A,B
wtennis,Swing
wwfmania,Punch,Defense,Power Punch,Kick,Power Kick
wwfsstar,A,B
wwfwfest,A,B
xenophob,Fire/Punch,Left,Right
xevious,Zapper,Blaster
xmcota,Punch-Jab,Punch-Strong,Punch-Fierce,Kick-Short,Kick-Forward,Kick-Roundhouse
xmen,Attack,Jump,Mutant Power
xmen2pe,Attack,Jump,Mutant Power
xmen2pj,Attack,Jump,Mutant Power
xmvsf,Punch-Light,Punch-Medium,Punch-Heavy,Kick-Light,Kick-Medium,Kick-Heavy
xsleena,Fire,Jump
xybots,Fire,Turn Left,Turn Right
yarunara
yesnoj,Yes,No,yiear,Punch,Kick
yosakdon,Fire
yuyugogo,1,2,3,4,??
